Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Latitude,Longitude
NCRB_32301,2023-02-11,04:43,Delhi,262,Theft/Robbery,62,F,Blunt Object,2,28.45417410846789,77.2873992737356
NCRB_32302,2022-03-21,08:57,Delhi,208,Kidnapping,32,Unknown,,0,28.748009968663844,77.34615698769345
NCRB_32303,2022-08-26,14:46,Delhi,967,Assault,60,M,Knife,10,28.55323785989788,77.12522258469438
NCRB_32304,2023-04-14,16:07,Delhi,894,Homicide,38,F,Firearm,4,28.49048888678748,77.14515254835136
NCRB_32305,2022-10-21,04:24,Delhi,204,Drug Offense,41,Unknown,Firearm,6,28.78934271820478,77.2026702701156
NCRB_32306,2022-12-28,21:44,Delhi,500,Drug Offense,56,M,Unknown,0,28.780062491821905,77.0324995243716
NCRB_32307,2023-07-21,19:04,Delhi,235,Assault,35,F,Firearm,4,28.46126418305146,77.3059379837402
NCRB_32308,2022-04-04,21:29,Delhi,881,Kidnapping,48,F,Knife,1,28.681023362810468,77.27662318081198
NCRB_32309,2022-04-27,21:02,Delhi,854,Theft/Robbery,29,F,Knife,7,28.49429559902357,77.01487316845304
NCRB_32310,2022-07-26,07:52,Delhi,460,Burglary,37,F,,10,28.415051421620777,77.39564696257472
NCRB_32311,2023-06-28,07:07,Delhi,973,Burglary,55,Unknown,Blunt Object,8,28.740179781932213,77.06352796508772
NCRB_32312,2022-09-11,16:02,Delhi,206,Assault,60,Unknown,,1,28.45697087379755,77.07971377752898
NCRB_32313,2023-10-25,03:33,Delhi,865,Homicide,42,Unknown,Blunt Object,0,28.60429672075485,77.33647178417111
NCRB_32314,2023-04-19,14:32,Delhi,718,Kidnapping,49,F,Firearm,9,28.68506531136334,77.13019867159203
NCRB_32315,2023-03-27,14:09,Delhi,845,Assault,42,M,Firearm,0,28.502055272907505,77.34663643976167
NCRB_32316,2023-11-02,10:48,Delhi,873,Assault,41,M,Blunt Object,9,28.65140588193353,77.4016298797497
NCRB_32317,2022-10-17,02:46,Delhi,804,Kidnapping,54,M,Firearm,5,28.54244395679712,77.31572360383971
NCRB_32318,2023-09-06,14:13,Delhi,482,Drug Offense,26,F,Unknown,10,28.79023012170266,77.1528886724612
NCRB_32319,2022-08-22,15:42,Delhi,643,Drug Offense,21,M,,5,28.801115848732287,77.31332097122495
NCRB_32320,2022-01-21,02:27,Delhi,186,Theft/Robbery,42,M,Blunt Object,0,28.52781103526239,77.40101868477204
NCRB_32321,2022-09-15,15:35,Delhi,291,Kidnapping,56,M,Firearm,5,28.76851519125369,77.36580647766759
NCRB_32322,2023-04-21,13:13,Delhi,196,Theft/Robbery,54,F,Blunt Object,0,28.762709404191128,77.12009064866652
NCRB_32323,2023-10-25,00:06,Delhi,963,Assault,20,M,Blunt Object,7,28.63914113890501,77.11612288345155
NCRB_32324,2023-06-20,07:09,Delhi,817,Burglary,18,F,,5,28.611487503247485,77.23096959779163
NCRB_32325,2022-06-16,02:43,Delhi,479,Homicide,43,M,,0,28.680079576817096,77.2397426177676
NCRB_32326,2023-09-01,19:00,Delhi,863,Homicide,63,F,Knife,6,28.41610910142624,77.38805709938315
NCRB_32327,2023-11-28,00:48,Delhi,313,Kidnapping,62,Unknown,Blunt Object,1,28.59368558432548,77.13934595491325
NCRB_32328,2022-07-26,00:53,Delhi,566,Assault,48,M,Firearm,8,28.51440456691289,77.19108693759831
NCRB_32329,2023-05-27,12:22,Delhi,855,Kidnapping,58,F,Firearm,4,28.622734012778167,77.15848214500451
NCRB_32330,2023-11-18,15:29,Delhi,705,Burglary,61,F,,8,28.63840806273724,77.11278462768313
NCRB_32331,2022-06-23,11:59,Delhi,570,Kidnapping,45,M,Blunt Object,9,28.725678058554983,77.09454183467369
NCRB_32332,2022-10-29,12:46,Delhi,189,Burglary,20,M,Unknown,1,28.69848603330853,77.17800661434984
NCRB_32333,2022-07-21,17:37,Delhi,277,Drug Offense,44,Unknown,,5,28.4234051321422,77.17581914897595
